input1,input2,output1
[29.38 48.87 18.42 45.6 5.21 2.67 21.16 12.81 17.91 9.56 48.51 46.91 22.25 37.44 12.01],[30.01 98.33 16.91 35.85 97.39 55.58 13.33 55.21 64.7 45.85 95.08 98.76 22.02 22.78 48.97],158.19
[32.48 49.22 1.02],[7.18 52.77 69.88],53.7
[0.01 0.01 0.01 0.01 0.01 0.01 0.01],[85.77 43.99 22.78 34.14 34.12 8.54 11.03],0.05
[47.28 39.58 1.57],[40.72 36.54 18.04],54.43
[3.69 35.45 15.29 13.44],[34.96 36.87 18.15 77.0],40.39
[42.7 10.96],[90.04 21.62],12.84
[21.18 48.1 45.37 12.89 34.33 23.12 47.12 27.85 13.98 6.23 33.36 21.9 27.84 25.55 28.26 28.68 18.43 20.15 5.12],[99.06 14.25 98.08 88.42 30.04 7.17 3.48 65.46 27.67 61.63 80.48 3.3 69.01 91.36 49.11 42.58 51.66 62.96 69.6],244.19
[8.44 0.08],[51.36 13.04],4.17
[14.29 7.5 37.72 14.81 49.98 44.53 39.09 16.86 3.7 49.39 43.28 26.21 19.02 11.39 44.1 22.54 17.76 45.74 10.33],[79.79 57.76 26.76 86.73 37.03 0.26 9.59 87.33 47.05 6.79 60.01 64.34 40.9 57.07 10.9 78.75 17.71 42.35 32.11],331.87
[24.65 13.49 0.89 39.31 5.74 35.51 4.75],[3.67 92.17 53.63 34.4 98.65 95.09 97.29],52.95
[43.57 31.46 17.82 37.84 39.88 12.58 6.36 28.46 1.38 26.02 43.3 18.86 16.7 33.35 25.64 32.46 0.36 31.55],[97.0 14.83 62.91 78.7 35.65 45.71 26.36 20.29 82.58 84.24 55.14 59.14 29.35 33.53 41.54 86.06 76.98 41.38],206.16
[47.81 34.64 22.8 5.34 48.12 48.91 7.7],[50.02 42.97 18.09 58.32 67.07 23.76 60.76],120.71
[3.69 41.86 27.66 27.43 2.36 48.63 47.7 13.34 43.42 13.8],[0.75 84.24 82.65 55.8 41.53 27.77 79.66 92.71 33.38 67.82],107.73
[24.51 45.14 10.35 35.83 42.74 10.39 1.25 40.17 47.55],[44.22 88.25 90.43 50.28 88.97 9.91 49.96 13.07 51.98],110.23
[8.84 17.72 0.81 29.85 36.81 15.12 29.52 32.02 0.67 31.64 20.35 45.76 38.98 25.19 37.36],[33.03 4.73 44.65 40.47 47.54 46.86 95.26 18.35 49.38 54.41 34.75 31.4 48.78 18.72 34.31],220.32
[41.67 49.89 17.07 17.84 37.03 34.44],[92.63 2.62 2.35 97.0 99.97 69.45],79.39
[6.11 3.46 3.09],[93.88 21.27 3.26],6.09
[34.58 46.12 4.68 5.09 10.88 25.13 13.87 35.92 45.8],[79.3 94.07 36.83 13.89 16.7 28.94 93.63 44.66 10.36],105.97
[40.26 17.16 38.22 10.29 32.57 22.54 26.8 38.65 39.84 18.64 28.97 47.94 22.76],[70.33 63.02 38.71 18.29 33.17 88.05 76.23 12.02 39.8 39.04 26.37 36.81 66.15],209.63
[37.98 4.52 42.68 3.86 35.09 38.56 3.17 27.3 8.56 11.76 20.98],[90.43 45.45 69.13 39.49 73.83 94.99 28.49 71.45 39.87 72.11 38.21],64.18
[28.97 38.32 21.75 21.23 3.59 22.55 3.61 29.83 9.28 8.18 44.08 37.4 34.13 8.89],[44.08 31.94 63.89 33.88 39.98 52.49 3.29 22.5 43.35 60.02 38.11 37.55 6.53 12.27],202.51
[32.31 14.13 15.93 25.75 39.66 40.01 42.95 19.04 41.11 43.17 18.47 46.96 38.6 5.51 41.13],[4.42 34.62 4.54 19.91 68.2 83.95 44.7 67.82 15.15 1.83 44.64 86.66 89.66 77.57 58.98],240.71
[15.35 1.12 25.87 22.13 25.24 32.68 17.57 25.99 4.39 19.33 13.35 36.82 4.01 16.22 45.45 33.61 8.34 26.39 31.1],[26.48 94.09 56.78 92.06 27.95 17.76 11.68 90.82 53.28 66.1 23.46 88.52 48.01 77.6 97.89 70.94 0.82 28.68 71.55],162.69
[18.85 18.02],[49.04 32.27],21.81
[31.27 40.2 36.11 29.36 13.79 18.52],[85.65 38.65 9.39 5.75 26.47 2.58],117.72
[10.84 25.2],[43.65 2.0],30.8
[34.45 14.16 43.7 46.08 31.99 44.47 42.16 48.5 46.69 34.01 37.29 7.56 2.17 33.04],[39.98 85.75 64.1 50.14 83.61 86.74 73.25 16.76 30.42 4.65 30.17 52.29 7.86 58.13],234.54
[32.9 31.88 1.48 13.12 41.91 3.23 29.24 5.98],[5.33 21.0 80.8 64.06 85.58 43.48 37.56 77.23],88.82
[14.76 17.22 20.6 9.88],[39.57 92.31 62.25 98.92],18.13
[15.71 20.18],[78.83 15.26],20.43
[35.02 43.94 34.54 38.9 13.84 25.47 46.24 45.72],[69.76 17.05 68.44 55.32 88.4 13.07 79.83 13.91],147.75
[36.67 7.67 49.71 14.13 32.15 9.03 12.27 39.69 26.21 39.45 48.57 8.68 12.15 23.92 30.58],[19.05 57.11 7.82 50.54 25.72 15.55 72.21 34.14 55.06 5.91 77.96 11.04 78.07 90.44 80.25],225.16
[42.32 41.97 41.4 29.19 10.78 38.49 11.06 37.05 17.9 38.51 39.34 31.91 44.03 12.03],[46.84 9.63 55.42 64.48 79.89 9.78 72.76 3.89 93.29 68.64 53.69 71.41 83.03 27.45],221.58
[10.48 41.43 20.1 30.4 15.51 7.96 44.74 41.28],[24.18 98.83 92.48 60.72 1.52 4.61 86.08 46.59],73.03
[41.88 49.6],[7.79 58.94],58.98
[46.58 13.57 35.71 19.67 49.68 6.03 40.91 22.88],[34.91 17.03 58.24 39.17 30.15 81.49 31.28 38.28],146.51
